code,first_name,second_name,web_name,16-17,17-18,18-19,19-20,20-21,21-22,22-23,understat,fbref
40555,Joe,Allen,Allen,202,337,,,,,,480,9feb8f24
40559,Fabricio,Agosto Ramírez,Fabri,,,474,,171,,,2587,af245161
40564,Henri,Lansbury,Lansbury,,,,35,30,,,7727,fe8e6fa1
40616,Stephen,Ward,Ward,57,78,71,,,,,1655,3831b9fe
40669,Angelo,Ogbonna,Ogbonna,456,444,403,377,432,409,456,528,74b2cd7e
40694,Roberto,Jimenez Gago,Roberto,,,,450,433,,,5087,ba3ca78f
40720,Edinson,Cavani,Cavani,,,,,569,269,,3294,527f063d
40725,Danny,Simpson,Simpson,172,193,217,,,,,746,3201b03d
40755,Daniel,Sturridge,Sturridge,214,236,472,,,,,483,1b7ec703
40772,Gökhan,Inler,Inler,180,,,,,,,761,3200c583
40784,Mamadou,Sakho,Sakho,190,221,143,125,127,,,485,87935cf3
40833,Jérémy,Pied,Pied,492,312,,,,,,1784,a634b9d2
40836,Vicente,Guaita,Guaita,,,137,131,128,146,152,2190,ab13a5aa
40845,Dale,Stephens,Stephens,,63,56,57,55,102,,6051,653ee42d
40868,José,Holebas,Holebas,411,401,378,353,,,,568,12aa7661
41135,Branislav,Ivanovic,Ivanovic,76,,,,530,,,682,85f8571a
41184,Marouane,Fellaini,Fellaini,257,275,298,,,,,630,87575fd9
41251,Eduardo,dos Reis Carvalho,Eduardo,663,95,,,,,,,81b906e7
41270,David,Luiz Moreira Marinho,David Luiz,570,101,116,106,3,,,1676,c0e27d1a
41320,Charlie,Daniels,Daniels,33,34,28,60,,,,459,9d107085
41321,Yohan,Benalouane,Benalouane,174,195,218,,,,,974,8309b068
41328,César,Azpilicueta,Azpilicueta,77,97,113,105,102,119,127,681,53cad200
41338,Craig,Cathcart,Cathcart,408,399,376,358,,379,,581,89e4b358
41464,Marko,Arnautovic,Arnautovic,331,340,417,385,,,,865,00459419
41674,Kevin,Long,Long,594,80,73,88,85,103,,1747,5a4280b1
41705,Bradley,Guzan,Guzan,490,,,,,,,662,d899e3bf
41725,Troy,Deeney,Deeney,425,417,396,362,,380,,574,82e34b69
41727,Ryan,Bennett,Bennett,,,427,404,456,,,787,0bad4516
41733,Georginio,Wijnaldum,Wijnaldum,485,232,252,199,243,,,771,eb58eef0
41792,Aaron,Ramsey,Ramsey,16,18,14,,,,,504,ef619b0b
41823,Fabian,Delph,Delph,227,246,269,205,149,163,,876,111c3236
41926,Almen,Abdi,Abdi,417,,,,,,,569,8d425d84
41945,Sebastian,Prödl,Prödl,409,400,377,361,,,,566,f5e6d08d
42427,Kieran,Gibbs,Gibbs,7,8,,,407,,,545,46ee5234
42493,Mario,Balotelli,Balotelli,215,,,,,,,1817,8ff07990
42525,Stephen,Henderson,Henderson,,,,556,578,,,,f234c188
42564,Eric Maxim,Choupo-Moting,Choupo-Moting,,497,,,,,,339,0e6bc38c
42583,Sébastien,Pocognoli,Pocognoli,434,,,,,,,893,cc41eec1
42593,Aleksandar,Kolarov,Kolarov,220,243,,,,,,621,eda40760
42727,Yoan,Gouffran,Gouffran,,297,,,,,,916,a28d181a
42738,Juan,Zuñiga,Zuñiga,479,,,,,,,1722,06b34f37
42748,Gaëtan,Bong,Bong,,59,51,41,,,,6105,cfd5e123
42774,Morgan,Schneiderlin,Schneiderlin,264,154,167,158,,,,551,51b41c5c
42786,Eden,Hazard,Hazard,82,104,122,,,,,701,a39bb753
42824,Carlos,Sánchez,Carlos Sánchez,,,518,397,,,,667,50b51fac
42892,Álvaro,Negredo,Negredo,478,,,,,,,1715,63b0ca6b
42899,Sergio,Romero,Romero,243,261,283,236,289,,,560,1e26e376
42996,Angel,Rangel,Rangel,361,353,,,,,,707,93ee387c
43020,Javier,Hernández Balcázar,Chicharito,,487,419,386,,,,191,189cee7b
43191,Leiva,Lucas,Lucas,200,224,,,,,,475,4c78b5ed
43250,Tom,Cleverley,Cleverley,135,408,388,371,,381,,596,6cdd8245
43252,James,Chester,Chester,437,,,23,,,,819,a772eba6
43521,Henri,Saivet,Saivet,,516,,,,,,778,f3709655
43626,Håvard,Nordtveit,Nordtveit,465,,593,,,,,202,6cafd68d
43670,Juan,Mata,Mata,256,274,297,242,290,459,,554,29733c72
43693,Martín,Cáceres,Cáceres,652,,,,,,,1942,e94d79e3
43808,Markus,Suttner,Suttner,,461,52,,,,,379,7391c2d9
44302,Adlène,Guédioura,Guédioura,415,,,,,,,583,f75825e3
44336,Sofiane,Feghouli,Feghouli,466,455,,,,,,1674,691f64f5
44343,Bakary,Sako,Sako,119,130,148,,,,,520,381d7d54
44346,Olivier,Giroud,Giroud,25,25,133,110,103,120,,502,16ceb862
44413,Steve,Mandanda,Mandanda,102,,,,,,,1670,1d2d5cc8
44604,Nordin,Amrabat,Amrabat,422,412,,,,,,575,7c2a398c
44683,Jay,Rodriguez,Rodriguez,311,437,,451,86,104,,844,4ab53cdb
44699,Ashley,Barnes,Barnes,70,93,85,90,87,105,,4422,2691c772
45034,Ivan,Perišić,Perišić,,,,,,,448,,6fe90922
45076,Lamine,Koné,Koné,346,,,,,,,728,a46472d0
45124,André,Ayew,André Ayew,374,449,,,,,,713,5dbefa9d
45196,Gary,Madine,Madine,,,109,,,,,6829,e3e6502a
45220,Alex,Smithies,Smithies,,,89,,,,,,bb91617c
45268,Moussa,Sissoko,Sissoko,572,393,369,349,385,354,,772,2acd49b9
46483,Adrien,Silva,Silva,,589,231,,220,,,6464,d6f88a1d
46695,Ritchie,de Laet,de Laet,171,,,,,,,955,dc234f98
47247,John,Fleck,Fleck,,,,301,346,,,7709,b63e789d
47390,Neil,Taylor,Taylor,360,,,24,31,,,710,c2f9d19f
47431,Willian,Borges Da Silva,Willian,86,106,124,113,478,3,,700,8b9ebd03
48332,Orestis,Karnezis,Karnezis,,536,,,,,,1138,85b011bb
48615,Harry,Arter,Arter,37,39,33,,,,378,881,2f4c5a52
48717,Winston,Reid,Reid,453,442,401,383,,410,,529,562eed5c
48760,Mathias,Jorgensen,Zanka,,171,195,,,594,,6030,0db5d2c8
48771,Emilio,Nsue Lopez,Nsue,279,,,,,,,1757,1c9bc4fa
48773,Siem,de Jong,de Jong,,466,,,,,,774,cf2a6ace
48844,David,Ospina,Ospina,1,1,,,,,,505,82b1198a
48860,Niki,Mäenpää,Mäenpää,,53,,,,,,6053,14a96e1c
49013,Victor,Moses,Moses,92,102,117,,,,,541,e726e11e
49083,Luke,Freeman,Freeman,,,,441,477,,,7713,636b64cd
49195,Jefferson,Montero,Montero,373,364,,,,,,715,fa6561bf
49202,Sean,Scannell,Scannell,,180,,,,,,,7ab42a5e
49207,Rudy,Gestede,Gestede,629,,,,,,,671,822b3ef9
49262,Jason,Steele,Steele,,,439,,528,54,102,7235,28300a16
49277,Leroy,Fer,Fer,375,365,,,,,,711,3cefa66a
49382,Bruno,Ecuele Manga,Ecuele Manga,,,92,,,,,4883,72a0fb65
49384,Jack,Rodwell,Rodwell,350,,,591,,,,733,a07579ee
49413,James,Tomkins,Tomkins,103,117,138,124,129,147,153,530,e7ca0439
49438,Jordon,Mutch,Mutch,115,552,,,,,,632,37c408cc
49440,Hal,Robson-Kanu,Robson-Kanu,571,436,,,408,,,1738,fb2dec57
49464,Cristhian,Stuani,Stuani,293,,,,,,,1709,220c11f1
49539,Kyle,Naughton,Naughton,358,352,,,,,,718,e860c42f
49579,Pedro,Rodríguez Ledesma,Pedro,90,109,125,114,,,,687,3ca7254a
49688,Alfred,N'Diaye,N'Diaye,644,,,,,,,2144,7789bf63
49696,Mauro,Zárate,Zárate,636,419,,,,,,939,cc18ff4c
49773,Albert,Adomah,Adomah,281,,,,,,,1782,c7174e81
49806,David Junior,Hoilett,Hoilett,,,99,,,,,4395,33af5b9e
49845,Aron,Gunnarsson,Gunnarsson,,,102,,,,,7199,e2533c20
49944,Jake,Livermore,Livermore,157,426,,,409,,,1689,b98570d1
49957,Kamil,Grosicki,Grosicki,647,,,,410,,,3231,81d8091f
49982,Sean,Morrison,Morrison,,,90,,,,,6823,09fec029
50089,Geoff,Cameron,Cameron,320,331,,,,,,859,1a160ea3
50093,David,Button,Button,,,179,48,56,,,6843,e608ed4c
50175,Danny,Welbeck,Welbeck,26,26,21,512,588,447,103,501,ce5143da
50229,Matt,Phillips,Phillips,446,432,,,411,,,1737,7bb5f40e
50232,Jonjo,Shelvey,Shelvey,,296,318,269,321,291,349,769,3727dd3c
50471,James,McArthur,McArthur,114,127,147,138,130,148,154,633,cee31595
50472,James,McCarthy,McCarthy,136,150,166,157,131,,,589,64b08de7
51090,Thiago,Emiliano da Silva,Thiago Silva,,,,,490,121,128,3288,86e7deaf
51344,Rajiv,van La Parra,van La Parra,,173,200,,,,,6036,1931bde9
51507,Laurent,Koscielny,Koscielny,3,4,3,7,,,,494,f5efb153
51917,Diego,Cavalieri,Cavalieri,,633,,,,,,,84e6ea11
51927,Ben,Mee,Mee,56,77,70,83,88,106,526,1654,8df7a2fb
51934,Ron-Robert,Zieler,Zieler,166,,,,,,,91,a0606ae8
51938,Marc,Albrighton,Albrighton,177,200,224,174,221,202,251,753,b827d5b3
51940,David,De Gea Quintana,De Gea,242,260,282,235,291,270,327,546,7ba6d84e
